target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC5024-M53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2339463937,18.17672090415,3,54924.4063956019,1200.0,89
NGC5024-M53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2339463937,18.17672090415,3,54924.4223678241,1200.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2289648298,18.16886985494,3,56634.8978207986,460.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2294466602,18.16699761298,3,56741.6214371528,433.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2284318966,18.16917121889,3,56634.1690474537,1832.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2291202319,18.16649658905,3,56740.7653260764,1733.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2278989616,18.16947258137,3,56634.1235963773,460.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2287938056,18.16599556457,3,56740.7582427083,433.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2273660248,18.16977394239,3,56634.1196726505,180.0,89
NGC-5024-M-53,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2284673811,18.16549453954,3,56740.7544345718,170.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2555778821,18.1989772401,3,51683.4182271181,100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2555778821,18.1989772401,3,51683.4223952199,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2555778821,18.1989772401,3,51683.4369785532,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2555778821,18.1989772401,3,51686.4341993866,100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2555778821,18.1989772401,3,51686.4383674769,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2555778821,18.1989772401,3,51686.4529508102,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2556117087,18.19901437011,3,51683.2244771181,100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2556117087,18.19901437011,3,51683.2265618866,1000.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2556117087,18.19901437011,3,51683.2842007755,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2556117087,18.19901437011,3,51686.241143831,100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2556117087,18.19901437011,3,51686.243228588,1000.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.2556117087,18.19901437011,3,51686.3001730324,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.255679362,18.1990886301,3,51683.3008660069,100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.255679362,18.1990886301,3,51683.3508674421,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.255679362,18.1990886301,3,51683.3654507755,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.255679362,18.1990886301,3,51686.3168382755,100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.255679362,18.1990886301,3,51686.3675341435,1100.0,89
NGC5024,STELLAR-CLUSTER-GLOBULAR-CLUSTER,198.255679362,18.1990886301,3,51686.3821174769,1100.0,89
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51683.3502860764,589.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51683.3586194097,1500.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51683.3002631134,200.0,66
HI-LATITUDE-FIELD,STAR,198.2634853582,18.11317439822,2,51683.3031564468,200.0,66
